module_id,module_name,tag,meaning_zh,meaning_en,file,status
S01,AI_PROMPT,PROMPT,提示词输入,Prompt,S01/S01-01_PROMPT.png,PROCESSED
S01,AI_PROMPT,CONTEXT,上下文信息,Context,S01/S01-02_CONTEXT.png,PROCESSED
S01,AI_PROMPT,INPUT,输入素材,Input,S01/S01-03_INPUT.png,PROCESSED
S01,AI_PROMPT,OUTPUT,输出结果,Output,S01/S01-04_OUTPUT.png,PROCESSED
S01,AI_PROMPT,THINK,思考分析,Think,S01/S01-05_THINK.png,PROCESSED
S01,AI_PROMPT,ASK,提问澄清,Ask,S01/S01-06_ASK.png,PROCESSED
S01,AI_PROMPT,MODEL,调用模型,Model,S01/S01-07_MODEL.png,PROCESSED
S01,AI_PROMPT,AGENT,智能体执行,Agent,S01/S01-08_AGENT.png,PROCESSED
S01,AI_PROMPT,MEMORY,读取记忆,Memory,S01/S01-09_MEMORY.png,PROCESSED
S01,AI_PROMPT,TOOLS,调用工具,Tools,S01/S01-10_TOOLS.png,PROCESSED
S01,AI_PROMPT,TEST,测试验证,Test,S01/S01-11_TEST.png,PROCESSED
S01,AI_PROMPT,LOOP,循环迭代,Loop,S01/S01-12_LOOP.png,PROCESSED
S02,VIDEO_EDITING,CUT,剪切镜头,Cut,S02/S02-01_CUT.png,PROCESSED
S02,VIDEO_EDITING,TRIM,修剪片段,Trim,S02/S02-02_TRIM.png,PROCESSED
S02,VIDEO_EDITING,SPLIT,拆分片段,Split,S02/S02-03_SPLIT.png,PROCESSED
S02,VIDEO_EDITING,MERGE,合并片段,Merge,S02/S02-04_MERGE.png,PROCESSED
S02,VIDEO_EDITING,TIMELINE,时间线,Timeline,S02/S02-05_TIMELINE.png,PROCESSED
S02,VIDEO_EDITING,BROLL,补充画面,Broll,S02/S02-06_BROLL.png,PROCESSED
S02,VIDEO_EDITING,LAYER,图层,Layer,S02/S02-07_LAYER.png,PROCESSED
S02,VIDEO_EDITING,SYNC,音画同步,Sync,S02/S02-08_SYNC.png,PROCESSED
S02,VIDEO_EDITING,FRAME,关键帧画面,Frame,S02/S02-09_FRAME.png,PROCESSED
