module_id,module_name,tag,meaning_zh,preview_file,status
S01,AI_PROMPT,PROMPT,提示词输入,modules/01-ai-prompt/S01-01_PROMPT.png,PREVIEW
S01,AI_PROMPT,CONTEXT,上下文信息,modules/01-ai-prompt/S01-02_CONTEXT.png,PREVIEW
S01,AI_PROMPT,INPUT,输入素材,modules/01-ai-prompt/S01-03_INPUT.png,PREVIEW
S01,AI_PROMPT,OUTPUT,输出结果,modules/01-ai-prompt/S01-04_OUTPUT.png,PREVIEW
S01,AI_PROMPT,THINK,思考分析,modules/01-ai-prompt/S01-05_THINK.png,PREVIEW
S01,AI_PROMPT,ASK,提问澄清,modules/01-ai-prompt/S01-06_ASK.png,PREVIEW
S01,AI_PROMPT,MODEL,调用模型,modules/01-ai-prompt/S01-07_MODEL.png,PREVIEW
S01,AI_PROMPT,AGENT,智能体执行,modules/01-ai-prompt/S01-08_AGENT.png,PREVIEW
S01,AI_PROMPT,MEMORY,读取记忆,modules/01-ai-prompt/S01-09_MEMORY.png,PREVIEW
S01,AI_PROMPT,TOOLS,调用工具,modules/01-ai-prompt/S01-10_TOOLS.png,PREVIEW
S01,AI_PROMPT,TEST,测试验证,modules/01-ai-prompt/S01-11_TEST.png,PREVIEW
S01,AI_PROMPT,LOOP,循环迭代,modules/01-ai-prompt/S01-12_LOOP.png,PREVIEW
S02,VIDEO_EDITING,CUT,剪切镜头,modules/02-video-editing/S02-01_CUT.png,PREVIEW
S02,VIDEO_EDITING,TRIM,修剪片段,modules/02-video-editing/S02-02_TRIM.png,PREVIEW
S02,VIDEO_EDITING,SPLIT,拆分片段,modules/02-video-editing/S02-03_SPLIT.png,PREVIEW
S02,VIDEO_EDITING,MERGE,合并片段,modules/02-video-editing/S02-04_MERGE.png,PREVIEW
S02,VIDEO_EDITING,TIMELINE,时间线,modules/02-video-editing/S02-05_TIMELINE.png,PREVIEW
S02,VIDEO_EDITING,BROLL,补充画面,modules/02-video-editing/S02-06_BROLL.png,PREVIEW
S02,VIDEO_EDITING,LAYER,图层,modules/02-video-editing/S02-07_LAYER.png,PREVIEW
S02,VIDEO_EDITING,SYNC,音画同步,modules/02-video-editing/S02-08_SYNC.png,PREVIEW
S02,VIDEO_EDITING,FRAME,关键帧画面,modules/02-video-editing/S02-09_FRAME.png,PREVIEW
S02,VIDEO_EDITING,PLAY,播放,modules/02-video-editing/S02-10_PLAY.png,PREVIEW
S02,VIDEO_EDITING,PAUSE,暂停,modules/02-video-editing/S02-11_PAUSE.png,PREVIEW
S02,VIDEO_EDITING,EXPORT,导出,modules/02-video-editing/S02-12_EXPORT.png,PREVIEW
S03,AUDIO_VOICE,VOICE,人声,modules/03-audio-voice/S03-01_VOICE.png,PREVIEW
S03,AUDIO_VOICE,RECORD,录音,modules/03-audio-voice/S03-02_RECORD.png,PREVIEW
S03,AUDIO_VOICE,DUB,配音,modules/03-audio-voice/S03-03_DUB.png,PREVIEW
S03,AUDIO_VOICE,MUSIC,音乐,modules/03-audio-voice/S03-04_MUSIC.png,PREVIEW
S03,AUDIO_VOICE,SFX,音效,modules/03-audio-voice/S03-05_SFX.png,PREVIEW
S03,AUDIO_VOICE,WAVEFORM,波形,modules/03-audio-voice/S03-06_WAVEFORM.png,PREVIEW
S03,AUDIO_VOICE,MIX,混音,modules/03-audio-voice/S03-07_MIX.png,PREVIEW
S03,AUDIO_VOICE,DUCK,压低背景音乐,modules/03-audio-voice/S03-08_DUCK.png,PREVIEW
S03,AUDIO_VOICE,SYNC,声音同步,modules/03-audio-voice/S03-09_SYNC.png,PREVIEW
S03,AUDIO_VOICE,CLEAN,清理噪声,modules/03-audio-voice/S03-10_CLEAN.png,PREVIEW
S03,AUDIO_VOICE,LOUDNESS,响度,modules/03-audio-voice/S03-11_LOUDNESS.png,PREVIEW
S03,AUDIO_VOICE,MASTER,母带处理,modules/03-audio-voice/S03-12_MASTER.png,PREVIEW
S04,DIRECTOR_STORY,IDEA,创意,modules/04-director-story/S04-01_IDEA.png,PREVIEW
S04,DIRECTOR_STORY,HOOK,开头钩子,modules/04-director-story/S04-02_HOOK.png,PREVIEW
S04,DIRECTOR_STORY,STORY,故事结构,modules/04-director-story/S04-03_STORY.png,PREVIEW
S04,DIRECTOR_STORY,SHOT,镜头,modules/04-director-story/S04-04_SHOT.png,PREVIEW
S04,DIRECTOR_STORY,SCENE,场景,modules/04-director-story/S04-05_SCENE.png,PREVIEW
S04,DIRECTOR_STORY,BEAT,节奏点,modules/04-director-story/S04-06_BEAT.png,PREVIEW
S04,DIRECTOR_STORY,PACE,节奏速度,modules/04-director-story/S04-07_PACE.png,PREVIEW
S04,DIRECTOR_STORY,MOOD,情绪氛围,modules/04-director-story/S04-08_MOOD.png,PREVIEW
S04,DIRECTOR_STORY,REVEAL,揭示,modules/04-director-story/S04-09_REVEAL.png,PREVIEW
S04,DIRECTOR_STORY,CTA,行动引导,modules/04-director-story/S04-10_CTA.png,PREVIEW
S04,DIRECTOR_STORY,TITLE,标题,modules/04-director-story/S04-11_TITLE.png,PREVIEW
S04,DIRECTOR_STORY,SCRIPT,脚本,modules/04-director-story/S04-12_SCRIPT.png,PREVIEW
S05,DESIGN_LAYOUT,LAYOUT,版式,modules/05-design-layout/S05-01_LAYOUT.png,PREVIEW
S05,DESIGN_LAYOUT,TYPE,字体,modules/05-design-layout/S05-02_TYPE.png,PREVIEW
S05,DESIGN_LAYOUT,COLOR,色彩,modules/05-design-layout/S05-03_COLOR.png,PREVIEW
S05,DESIGN_LAYOUT,GRID,网格,modules/05-design-layout/S05-04_GRID.png,PREVIEW
S05,DESIGN_LAYOUT,FOCUS,视觉焦点,modules/05-design-layout/S05-05_FOCUS.png,PREVIEW
S05,DESIGN_LAYOUT,BALANCE,平衡,modules/05-design-layout/S05-06_BALANCE.png,PREVIEW
S05,DESIGN_LAYOUT,CONTRAST,对比,modules/05-design-layout/S05-07_CONTRAST.png,PREVIEW
S05,DESIGN_LAYOUT,HIERARCHY,信息层级,modules/05-design-layout/S05-08_HIERARCHY.png,PREVIEW
S05,DESIGN_LAYOUT,BRAND,品牌,modules/05-design-layout/S05-09_BRAND.png,PREVIEW
S05,DESIGN_LAYOUT,COVER,封面,modules/05-design-layout/S05-10_COVER.png,PREVIEW
S05,DESIGN_LAYOUT,POSTER,海报,modules/05-design-layout/S05-11_POSTER.png,PREVIEW
S05,DESIGN_LAYOUT,POLISH,精修,modules/05-design-layout/S05-12_POLISH.png,PREVIEW
S06,ANIMATION_MOTION,MOTION,运动,modules/06-animation-motion/S06-01_MOTION.png,PREVIEW
S06,ANIMATION_MOTION,SPRING,弹性,modules/06-animation-motion/S06-02_SPRING.png,PREVIEW
S06,ANIMATION_MOTION,FLOAT,漂浮,modules/06-animation-motion/S06-03_FLOAT.png,PREVIEW
S06,ANIMATION_MOTION,SWIPE,滑动,modules/06-animation-motion/S06-04_SWIPE.png,PREVIEW
S06,ANIMATION_MOTION,SCALE,缩放,modules/06-animation-motion/S06-05_SCALE.png,PREVIEW
S06,ANIMATION_MOTION,ROTATE,旋转,modules/06-animation-motion/S06-06_ROTATE.png,PREVIEW
S06,ANIMATION_MOTION,BLUR,模糊,modules/06-animation-motion/S06-07_BLUR.png,PREVIEW
S06,ANIMATION_MOTION,GLOW,发光,modules/06-animation-motion/S06-08_GLOW.png,PREVIEW
S06,ANIMATION_MOTION,BURST,爆发,modules/06-animation-motion/S06-09_BURST.png,PREVIEW
S06,ANIMATION_MOTION,REACT,交互响应,modules/06-animation-motion/S06-10_REACT.png,PREVIEW
S06,ANIMATION_MOTION,EASE,缓动,modules/06-animation-motion/S06-11_EASE.png,PREVIEW
S06,ANIMATION_MOTION,LOOP,循环动效,modules/06-animation-motion/S06-12_LOOP.png,PREVIEW
S07,WORKFLOW_AUTOMATION,INBOX,待处理入口,modules/07-workflow-automation/S07-01_INBOX.png,PREVIEW
S07,WORKFLOW_AUTOMATION,PLAN,计划,modules/07-workflow-automation/S07-02_PLAN.png,PREVIEW
S07,WORKFLOW_AUTOMATION,RUN,运行,modules/07-workflow-automation/S07-03_RUN.png,PREVIEW
S07,WORKFLOW_AUTOMATION,QUEUE,队列,modules/07-workflow-automation/S07-04_QUEUE.png,PREVIEW
S07,WORKFLOW_AUTOMATION,ROUTE,路由,modules/07-workflow-automation/S07-05_ROUTE.png,PREVIEW
S07,WORKFLOW_AUTOMATION,TRIGGER,触发器,modules/07-workflow-automation/S07-06_TRIGGER.png,PREVIEW
S07,WORKFLOW_AUTOMATION,BATCH,批量,modules/07-workflow-automation/S07-07_BATCH.png,PREVIEW
S07,WORKFLOW_AUTOMATION,APPROVE,批准,modules/07-workflow-automation/S07-08_APPROVE.png,PREVIEW
